,Ranking,Tiempo,Atleta,País,Fecha,Lugar
0,1,2:11:53,Tigst Assefa, Etiopía,24 de septiembre de 2023,Berlín
0,2,2:13:44,Sifan Hassan, Países Bajos,8 de octubre de 2023,Chicago
0,3,2:14:04,Brigid Kosgei, Kenia,13 de octubre de 2019,Chicago
0,4,2:14:18,Ruth Chepngetich, Kenia,9 de octubre de 2022,Chicago
0,5,2:14:58,Amane Beriso Shankule, Etiopía,4 de diciembre de 2022,Valencia
0,6,2:15:25,Paula Radcliffe, Reino Unido,13 de abril de 2003,Londres
0,7,2:16:28,Rosemary Wanjiru, Kenia,5 de marzo de 2023,Tokio
0,8,2:16:49,Letesenbet Gidey, Etiopía,4 de diciembre de 2022,Valencia
0,9,2:16:56,Tsehay Gemechu, Etiopía,5 de marzo de 2023,Tokio
0,10,2:17:01,Mary Jepkosgei Keitany, Kenia,23 de abril de 2017,Londres
